14
1 2 3
1 3 8
1 4 7
1 5 2
1 6 5
1 7 10
1 8 4
1 9 9
1 10 6
1 11 11
1 12 7
1 13 8
1 14 9
2 3 6
2 4 5
2 5 8
2 6 4
2 7 3
2 8 7
2 9 6
2 10 5
2 11 9
2 12 10
2 13 8
2 14 11
3 4 3
3 5 9
3 6 6
3 7 8
3 8 7
3 9 5
3 10 4
3 11 10
3 12 9
3 13 5
3 14 7
4 5 6
4 6 7
4 7 9
4 8 8
4 9 5
4 10 3
4 11 11
4 12 6
4 13 9
4 14 10
5 6 5
5 7 7
5 8 6
5 9 8
5 10 9
5 11 4
5 12 10
5 13 6
5 14 5
6 7 4
6 8 9
6 9 3
6 10 8
6 11 7
6 12 5
6 13 10
6 14 9
7 8 6
7 9 5
7 10 10
7 11 6
7 12 9
7 13 4
7 14 8
8 9 7
8 10 9
8 11 8
8 12 5
8 13 9
8 14 6
9 10 4
9 11 9
9 12 7
9 13 6
9 14 8
10 11 8
10 12 6
10 13 9
10 14 5
11 12 7
11 13 10
11 14 9
12 13 8
12 14 7
13 14 6
